rank,strategy,net_usd,credibility,basis
1,F01-03-reth-aave-flashloan-loop,2372767.39,OVERSTATED,"deal-funded"
2,F07-07-pt-gho-aave-borrow-loop,999208.03,OVERSTATED,"position-equity-credit"
3,F11-05-fluid-susde-usdc-pendle-pt-loop,607927.86,OVERSTATED,"position-equity-credit"
4,F05-05-sfrxeth-crvusd-leverage-loop,342277.45,OVERSTATED,"position-equity-credit"
5,F05-08-crvusd-llamma-curve-convex-loop,283838.53,OVERSTATED,"position-equity-credit"
6,F07-02-pt-weeth-morpho-loop,249772.86,OVERSTATED,"position-equity-credit"
7,F06-04-bold-wsteth-leveraged-loop,175956.53,OVERSTATED,"position-equity-credit+deal-funded"
8,F01-07-reth-spark-dai-sdai-carry,146441.59,OVERSTATED,"deal-funded"
9,F05-03-wsteth-crvusd-leverage-loop,142837.08,OVERSTATED,"position-equity-credit"
10,F16-02-gho-vs-crvusd-rate-arb,122327.19,OVERSTATED,"position-equity-credit"
11,F07-03-yt-weeth-points-speculation,107137.50,OVERSTATED,"position-equity-credit"
12,F07-06-pt-usd0pp-cash-and-carry,98900.00,OVERSTATED,"deal-funded"
13,F14-01-seth-susd-atomic-vs-uniswap-triangular,86547.49,OVERSTATED,"deal-funded"
14,F07-09-yt-pufeth-symbiotic-stack,82808.22,OVERSTATED,"position-equity-credit"
15,F14-02-susd-3pool-depeg-atomic,60000.00,OVERSTATED,"deal-funded+round-number-suspect"
16,F08-05-pt-susde-aave-emode-dssflash-loop,40273.97,OVERSTATED,"position-equity-credit"
17,F03-01-steth-curve-depeg-lido-queue,37200.32,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
18,F08-04-susde-aave-stable-emode-loop,35342.47,OVERSTATED,"position-equity-credit"
19,F10-04-gho-stkaave-discounted-mint,28839.54,OVERSTATED,"position-equity-credit+deal-funded"
20,F16-05-dssflash-susds-gho-mint-crvusd-swap,25947.15,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
21,F04-04-dssflash-psm-aave-usdc-supply-arb,19550.25,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
22,F05-01-wsteth-llamma-band-arb,18876.51,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
23,F03-09-weeth-pectra-depeg,14673.43,OVERSTATED,"deal-funded"
24,F09-08-cross-metamorpho-idle-rebalance,12004.99,OVERSTATED,"position-equity-credit"
25,F09-03-metamorpho-idle-vault-supply,10000.00,OVERSTATED,"modeled-injection+position-equity-credit+round-number-suspect"
26,F18-03-ethena-curve-aave-usde-carry,10000.00,OVERSTATED,"modeled-injection+position-equity-credit+round-number-suspect"
27,F10-02-emode-sdai-dai-spark-loop,9851.17,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
28,F10-01-gho-mint-balancer-carry,8867.63,OVERSTATED,"position-equity-credit"
29,F05-02-wbtc-llamma-softliq-harvest,8092.03,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
30,F03-08-frxeth-sfrxeth-rate-mismatch,7306.94,OVERSTATED,"deal-funded"
31,F05-06-tbtc-crvusd-softliq-harvest,7089.97,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
32,F03-02-ezeth-balancer-depeg-renzo,6273.11,OVERSTATED,"deal-funded"
33,F15-06-eigenpod-native-validator-restake,5280.00,OVERSTATED,"position-equity-credit"
34,F05-07-crvusd-susde-morpho-recursive,5014.73,OVERSTATED,"modeled-injection+position-equity-credit"
35,F06-03-bold-redemption-sniper-v2,5000.00,OVERSTATED,"deal-funded+round-number-suspect"
36,F03-06-multi-lrt-triangular-balancer,4958.43,OVERSTATED,"deal-funded"
37,F03-04-multi-lst-triangular-curve,4750.43,OVERSTATED,"deal-funded"
38,F09-09-morpho-liquidation-flash-harvest,4659.53,OVERSTATED,"deal-funded"
39,F10-06-sdai-aave-usdc-spark-recursive,4329.88,OVERSTATED,"position-equity-credit+deal-funded"
40,F15-01-steth-direct-eigen-vs-ezeth,4068.00,OVERSTATED,"position-equity-credit"
41,F04-03-susds-spark-savings-rate-loop,3873.67,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
42,F17-01-usdm-curve-rebase-harvest,3521.42,OVERSTATED,"position-equity-credit"
43,F03-05-wsteth-curve-univ3-triangular,3325.30,OVERSTATED,"deal-funded"
44,F03-03-reth-balancer-rateprovider-lag,3265.49,OVERSTATED,"deal-funded"
45,F08-01-susde-morpho-usdc-loop,3246.58,OVERSTATED,"position-equity-credit"
46,F12-09-convex-crvusd-usdc-llamma-arb,3246.05,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
47,F06-02-stability-pool-eth-gain-loop,2500.00,OVERSTATED,"deal-funded"
48,F04-02-sdai-spark-collateral-loop,1971.53,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
49,F09-01-wsteth-morpho-flashloop-curve,1962.84,OVERSTATED,"modeled-injection+position-equity-credit"
50,F09-04-morpho-cross-market-rate-arb,1888.04,OVERSTATED,"position-equity-credit"
51,F16-01-lusd-trove-aave-usdc-supply-carry,1847.11,OVERSTATED,"position-equity-credit"
52,F15-05-eigen-operator-multi-avs-delegation,1553.88,OVERSTATED,"modeled-injection+position-equity-credit"
53,F16-06-crvusd-llamma-gho-collateral-loop,1458.88,OVERSTATED,"modeled-injection+position-equity-credit"
54,F15-08-symbiotic-eigen-pendle-yt-triple,1386.91,OVERSTATED,"modeled-injection+position-equity-credit"
55,F15-02-eigen-cap-race-first-deposit,1356.00,OVERSTATED,"position-equity-credit"
56,F18-05-eigen-symbiotic-karak-triple-restake,1307.21,OVERSTATED,"modeled-injection+position-equity-credit"
57,F17-05-sUSDe-sUSDS-aave-emode-rotation,1151.00,OVERSTATED,"position-equity-credit"
58,F16-08-lusd-trove-crvusd-curve-convex-boost,1100.00,OVERSTATED,"modeled-injection+position-equity-credit"
59,F10-03-spark-dai-aave-rate-arb,1084.64,OVERSTATED,"position-equity-credit"
60,F17-02-syrupusdc-vs-susds-carry-rotation,1077.96,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
61,F08-02-usde-usdt-balancer-flash-curve-peg-arb,1000.00,OVERSTATED,"deal-funded+round-number-suspect"
62,F10-07-gho-usde-curve-aave-3mech,892.95,OVERSTATED,"position-equity-credit"
63,F17-03-oeth-curve-depeg-redeem-arb,862.00,OVERSTATED,"position-equity-credit"
64,F06-06-lusd-trove-sp-convex-boost,850.02,OVERSTATED,"modeled-injection+position-equity-credit"
65,F08-06-susde-cooldown-curve-arb,763.30,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
66,F16-04-gho-mint-lusd-stability-pool-carry,680.20,OVERSTATED,"position-equity-credit"
67,F04-06-sdai-morpho-usdc-recursive,497.95,OVERSTATED,"modeled-injection+position-equity-credit+deal-funded"
68,F12-02-vlcvx-votium-bribe-claim,400.00,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
69,F17-04-ousd-rebase-aave-loop,325.38,OVERSTATED,"position-equity-credit"
70,F05-04-crvusd-peg-flashmint-arb,300.02,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
71,F04-08-sdai-spark-usdc-borrow-curve-recycle,195.48,OVERSTATED,"deal-funded"
72,F03-07-cbeth-rate-update-curve-univ3,158.20,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
73,F07-04-pt-sy-maturity-arb,143.59,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
74,F12-05-aura-reth-weth-hiddenhand,112.61,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
75,F15-03-eigen-withdrawal-queue-secondary,79.92,OVERSTATED,"modeled-injection+position-equity-credit"
76,F15-04-native-eigen-symbiotic-dualstack,76.63,OVERSTATED,"position-equity-credit"
77,F10-05-gho-curve-convex-3mech-boost,69.22,OVERSTATED,"position-equity-credit"
78,F09-02-susde-dai-morpho-flashloop,61.19,OVERSTATED,"position-equity-credit+deal-funded"
79,F02-05-rseth-karak-pendle-yt-morpho,56.56,OVERSTATED,"modeled-injection+position-equity-credit"
80,F01-01-wsteth-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
81,F01-02-wsteth-morpho-flashloan-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
82,F01-04-cbeth-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
83,F01-05-sfrxeth-fraxlend-frax-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
84,F01-06-wsteth-compound-v3-weth-comet,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
85,F01-08-wsteth-aave-pendle-pt-hedge,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
86,F02-01-weeth-morpho-flashloop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
87,F02-02-ezeth-pendle-yt-points,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
88,F02-03-pufeth-symbiotic-restack,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
89,F02-04-weeth-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
90,F02-06-pufeth-symbiotic-aave-emode-triple,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
91,F02-07-weeth-pendle-pt-yt-split-flashloop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
92,F02-08-weeth-fluid-smart-collateral-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
93,F04-01-dssflash-psm-curve-3pool-depeg,50.00,OVERSTATED,"modeled-injection+position-equity-credit+deal-funded"
94,F04-07-dssflash-lusd-liquity-redemption-curve,50.00,OVERSTATED,"modeled-injection+position-equity-credit+deal-funded"
95,F06-01-lusd-redemption-arb-flashmint,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
96,F06-05-bold-collateral-registry-redemption-flash,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
97,F06-07-lusd-gho-crvusd-triangle,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
98,F06-08-bold-sp-mint-recycle,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
99,F09-06-rseth-morpho-flashloop-curve,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
100,F11-01-comet-usdc-weth-leverage-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
101,F11-02-fluid-wsteth-eth-smart-collateral-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
102,F11-03-euler-evc-batch-rate-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
103,F11-04-cross-mm-comet-aave-usdc-supply-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
104,F11-07-fluid-wsteth-usdc-dssflash-bootstrap,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
105,F11-08-euler-cross-vault-usdc-rate-sniffer,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
106,F12-01-convex-frxeth-boost-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
107,F12-04-curve-gauge-weight-vote-snipe,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
108,F12-07-convex-frxeth-fxs-compound,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
109,F12-08-hiddenhand-multi-protocol-bribe,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
110,F13-03-balancer-boosted-aave-stable-lp,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
111,F13-04-univ3-wsteth-weth-narrow-lp,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
112,F13-07-univ3-usdc-weth-flash-balancer-curve-peg-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
113,F13-08-balancer-wsteth-bpt-aura-stake,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
114,F14-04-atomic-oracle-update-sandwich,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
115,F14-07-synthetix-v3-vault-research-probe,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
116,F15-07-karak-multi-lrt-basket-vault,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
117,F16-07-five-stable-cross-cdp-basis-scan,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
118,F17-06-oeth-redeem-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
119,F17-07-syrupUSDC-morpho-pendle-hedge,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
120,F17-08-usdm-crvusd-llamma-amplified-carry,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
121,F18-01-dssflash-crvusd-pegkeeper-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
122,F12-06-penpie-pendle-pt-weeth-hiddenhand,46.25,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
123,F11-06-comet-eth-lido-wsteth-loop,35.08,OVERSTATED,"position-equity-credit"
124,F13-05-univ3-wsteth-jit-lp-backrun,11.86,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
125,F07-01-pt-susde-morpho-loop,1.00,OVERSTATED,"position-equity-credit"
126,F12-03-convex-steth-triple-reward,0.05,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
127,F10-08-aave-isolation-mode-farm,0.00,OVERSTATED,"position-equity-credit"
