chain,id,title,type_or_category,cross_block,code_class
ETH,F01-07,F01-07-reth-spark-dai-sdai-carry,Staking-yield leveraged carry,yes,code-invisible
ETH,F01-08,F01-08-wsteth-aave-pendle-pt-hedge,Staking-yield leveraged carry,yes,code-invisible
ETH,F02-01,F02-01-weeth-morpho-flashloop,Staking-yield leveraged carry,yes,code-invisible
ETH,F02-04,F02-04-weeth-aave-emode-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F02-06,F02-06-pufeth-symbiotic-aave-emode-triple,Staking-yield leveraged carry,yes,code-invisible
ETH,F02-08,F02-08-weeth-fluid-smart-collateral-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F05-03,F05-03-wsteth-crvusd-leverage-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F05-05,F05-05-sfrxeth-crvusd-leverage-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F06-04,F06-04-bold-wsteth-leveraged-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F09-01,F09-01-wsteth-morpho-flashloop-curve,Staking-yield leveraged carry,yes,code-invisible
ETH,F09-06,F09-06-rseth-morpho-flashloop-curve,Staking-yield leveraged carry,yes,code-invisible
ETH,F11-01,F11-01-comet-usdc-weth-leverage-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F11-02,F11-02-fluid-wsteth-eth-smart-collateral-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F11-06,F11-06-comet-eth-lido-wsteth-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F11-07,F11-07-fluid-wsteth-usdc-dssflash-bootstrap,Staking-yield leveraged carry,yes,code-invisible
ETH,F17-06,F17-06-oeth-redeem-aave-emode-loop,Staking-yield leveraged carry,yes,code-invisible
ETH,F04-02,F04-02-sdai-spark-collateral-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F04-03,F04-03-susds-spark-savings-rate-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F04-06,F04-06-sdai-morpho-usdc-recursive,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F04-08,F04-08-sdai-spark-usdc-borrow-curve-recycle,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F05-07,F05-07-crvusd-susde-morpho-recursive,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F05-08,F05-08-crvusd-llamma-curve-convex-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F08-01,F08-01-susde-morpho-usdc-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F08-04,F08-04-susde-aave-stable-emode-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F08-07,F08-07-usde-morpho-collateral-susde-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F09-02,F09-02-susde-dai-morpho-flashloop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F09-03,F09-03-metamorpho-idle-vault-supply,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F10-01,F10-01-gho-mint-balancer-carry,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F10-02,F10-02-emode-sdai-dai-spark-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F10-04,F10-04-gho-stkaave-discounted-mint,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F10-05,F10-05-gho-curve-convex-3mech-boost,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F10-06,F10-06-sdai-aave-usdc-spark-recursive,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F10-07,F10-07-gho-usde-curve-aave-3mech,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F10-08,F10-08-aave-isolation-mode-farm,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F16-01,F16-01-lusd-trove-aave-usdc-supply-carry,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F16-04,F16-04-gho-mint-lusd-stability-pool-carry,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F16-06,F16-06-crvusd-llamma-gho-collateral-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F16-08,F16-08-lusd-trove-crvusd-curve-convex-boost,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F17-01,F17-01-usdm-curve-rebase-harvest,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F17-02,F17-02-syrupusdc-vs-susds-carry-rotation,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F17-04,F17-04-ousd-rebase-aave-loop,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F17-05,F17-05-sUSDe-sUSDS-aave-emode-rotation,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F17-08,F17-08-usdm-crvusd-llamma-amplified-carry,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F18-03,F18-03-ethena-curve-aave-usde-carry,Stablecoin-yield leveraged carry,yes,code-invisible
ETH,F02-07,F02-07-weeth-pendle-pt-yt-split-flashloop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F07-01,F07-01-pt-susde-morpho-loop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F07-02,F07-02-pt-weeth-morpho-loop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F07-04,F07-04-pt-sy-maturity-arb,Fixed-yield discount-to-par,yes,code-invisible
ETH,F07-05,F07-05-pt-rseth-morpho-kelp-loop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F07-06,F07-06-pt-usd0pp-cash-and-carry,Fixed-yield discount-to-par,yes,code-invisible
ETH,F07-07,F07-07-pt-gho-aave-borrow-loop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F07-08,F07-08-pt-susds-spark-dssflash-loop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F08-03,F08-03-pt-susde-morpho-pendle-flashloop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F08-05,F08-05-pt-susde-aave-emode-dssflash-loop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F09-05,F09-05-pt-weeth-morpho-flashloop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F09-07,F09-07-pt-susde-pendle-hedged-morpho,Fixed-yield discount-to-par,yes,code-invisible
ETH,F11-05,F11-05-fluid-susde-usdc-pendle-pt-loop,Fixed-yield discount-to-par,yes,code-invisible
ETH,F17-07,F17-07-syrupUSDC-morpho-pendle-hedge,Fixed-yield discount-to-par,yes,code-invisible
ETH,F18-02,F18-02-wsteth-pendle-pt-morpho-tier,Fixed-yield discount-to-par,yes,code-invisible
ETH,F18-04,F18-04-balancer-pendle-morpho-pt-susde,Fixed-yield discount-to-par,yes,code-invisible
ETH,F05-01,F05-01-wsteth-llamma-band-arb,Liquidation harvesting,no,code-invisible
ETH,F05-02,F05-02-wbtc-llamma-softliq-harvest,Liquidation harvesting,no,code-invisible
ETH,F05-06,F05-06-tbtc-crvusd-softliq-harvest,Liquidation harvesting,no,code-invisible
ETH,F09-09,F09-09-morpho-liquidation-flash-harvest,Liquidation harvesting,no,code-invisible
ETH,F13-03,F13-03-balancer-boosted-aave-stable-lp,LP fee income,yes,code-invisible
ETH,F13-04,F13-04-univ3-wsteth-weth-narrow-lp,LP fee income,yes,code-invisible
ETH,F13-05,F13-05-univ3-wsteth-jit-lp-backrun,LP fee income,yes,code-visible
ETH,F13-08,F13-08-balancer-wsteth-bpt-aura-stake,LP fee income,yes,code-invisible
ETH,F03-03,F03-03-reth-balancer-rateprovider-lag,Cross-venue/lag arbitrage,no,code-invisible
ETH,F03-04,F03-04-multi-lst-triangular-curve,Cross-venue/lag arbitrage,no,code-invisible
ETH,F03-05,F03-05-wsteth-curve-univ3-triangular,Cross-venue/lag arbitrage,no,code-invisible
ETH,F03-06,F03-06-multi-lrt-triangular-balancer,Cross-venue/lag arbitrage,no,code-invisible
ETH,F03-07,F03-07-cbeth-rate-update-curve-univ3,Cross-venue/lag arbitrage,no,code-invisible
ETH,F03-08,F03-08-frxeth-sfrxeth-rate-mismatch,Cross-venue/lag arbitrage,no,code-invisible
ETH,F04-04,F04-04-dssflash-psm-aave-usdc-supply-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F04-05,F04-05-daiusds-roundtrip-susds-slippage,Cross-venue/lag arbitrage,no,code-invisible
ETH,F06-07,F06-07-lusd-gho-crvusd-triangle,Cross-venue/lag arbitrage,no,code-invisible
ETH,F08-08,F08-08-susde-susds-funding-rotate,Cross-venue/lag arbitrage,no,code-invisible
ETH,F09-04,F09-04-morpho-cross-market-rate-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F09-08,F09-08-cross-metamorpho-idle-rebalance,Cross-venue/lag arbitrage,no,code-invisible
ETH,F10-03,F10-03-spark-dai-aave-rate-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F11-03,F11-03-euler-evc-batch-rate-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F11-04,F11-04-cross-mm-comet-aave-usdc-supply-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F11-08,F11-08-euler-cross-vault-usdc-rate-sniffer,Cross-venue/lag arbitrage,no,code-invisible
ETH,F12-09,F12-09-convex-crvusd-usdc-llamma-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F13-01,F13-01-univ3-wsteth-flash-balancer-cspeg-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F13-02,F13-02-balancer-reth-rateprovider-univ3-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F13-06,F13-06-balancer-weeth-rateprovider-univ3-flash-curve,Cross-venue/lag arbitrage,no,code-invisible
ETH,F14-01,F14-01-seth-susd-atomic-vs-uniswap-triangular,Cross-venue/lag arbitrage,no,code-invisible
ETH,F14-03,F14-03-sbtc-seth-susd-triangular,Cross-venue/lag arbitrage,no,code-invisible
ETH,F14-04,F14-04-atomic-oracle-update-sandwich,Cross-venue/lag arbitrage,no,code-visible
ETH,F14-05,F14-05-sbtc-wbtc-balancer-flash-atomic,Cross-venue/lag arbitrage,no,code-invisible
ETH,F14-08,F14-08-sbtc-chainlink-update-presandwich,Cross-venue/lag arbitrage,no,code-visible
ETH,F16-02,F16-02-gho-vs-crvusd-rate-arb,Cross-venue/lag arbitrage,no,code-invisible
ETH,F16-03,F16-03-dssflash-triangular-gho-crvusd-dai,Cross-venue/lag arbitrage,no,code-invisible
ETH,F16-05,F16-05-dssflash-susds-gho-mint-crvusd-swap,Cross-venue/lag arbitrage,no,code-invisible
ETH,F16-07,F16-07-five-stable-cross-cdp-basis-scan,Cross-venue/lag arbitrage,no,code-invisible
ETH,F18-06,F18-06-synthetix-curve-aave-susd-rotation,Cross-venue/lag arbitrage,no,code-invisible
ETH,F02-02,F02-02-ezeth-pendle-yt-points,Points/airdrop farming,yes,code-invisible
ETH,F02-03,F02-03-pufeth-symbiotic-restack,Points/airdrop farming,yes,code-invisible
ETH,F02-05,F02-05-rseth-karak-pendle-yt-morpho,Points/airdrop farming,yes,code-invisible
ETH,F07-03,F07-03-yt-weeth-points-speculation,Points/airdrop farming,yes,code-invisible
ETH,F07-09,F07-09-yt-pufeth-symbiotic-stack,Points/airdrop farming,yes,code-invisible
ETH,F15-01,F15-01-steth-direct-eigen-vs-ezeth,Points/airdrop farming,yes,code-invisible
ETH,F15-02,F15-02-eigen-cap-race-first-deposit,Points/airdrop farming,yes,code-invisible
ETH,F15-03,F15-03-eigen-withdrawal-queue-secondary,Points/airdrop farming,yes,code-invisible
ETH,F15-04,F15-04-native-eigen-symbiotic-dualstack,Points/airdrop farming,yes,code-invisible
ETH,F15-05,F15-05-eigen-operator-multi-avs-delegation,Points/airdrop farming,yes,code-invisible
ETH,F15-06,F15-06-eigenpod-native-validator-restake,Points/airdrop farming,yes,code-invisible
ETH,F15-07,F15-07-karak-multi-lrt-basket-vault,Points/airdrop farming,yes,code-invisible
ETH,F15-08,F15-08-symbiotic-eigen-pendle-yt-triple,Points/airdrop farming,yes,code-invisible
ETH,F18-05,F18-05-eigen-symbiotic-karak-triple-restake,Points/airdrop farming,yes,code-invisible
ETH,F04-07,F04-07-dssflash-lusd-liquity-redemption-curve,Debt redemption arbitrage,no,code-invisible
ETH,F06-01,F06-01-lusd-redemption-arb-flashmint,Debt redemption arbitrage,no,code-invisible
ETH,F06-02,F06-02-stability-pool-eth-gain-loop,Debt redemption arbitrage,no,code-invisible
ETH,F06-03,F06-03-bold-redemption-sniper-v2,Debt redemption arbitrage,no,code-visible
ETH,F06-05,F06-05-bold-collateral-registry-redemption-flash,Debt redemption arbitrage,no,code-invisible
ETH,F06-06,F06-06-lusd-trove-sp-convex-boost,Debt redemption arbitrage,no,code-invisible
ETH,F06-08,F06-08-bold-sp-mint-recycle,Debt redemption arbitrage,no,code-invisible
ETH,F12-01,F12-01-convex-frxeth-boost-loop,Vote-bribe rewards,yes,code-invisible
ETH,F12-02,F12-02-vlcvx-votium-bribe-claim,Vote-bribe rewards,yes,code-invisible
ETH,F12-03,F12-03-convex-steth-triple-reward,Vote-bribe rewards,yes,code-invisible
ETH,F12-04,F12-04-curve-gauge-weight-vote-snipe,Vote-bribe rewards,yes,code-invisible
ETH,F12-05,F12-05-aura-reth-weth-hiddenhand,Vote-bribe rewards,yes,code-invisible
ETH,F12-06,F12-06-penpie-pendle-pt-weeth-hiddenhand,Vote-bribe rewards,yes,code-invisible
ETH,F12-07,F12-07-convex-frxeth-fxs-compound,Vote-bribe rewards,yes,code-invisible
ETH,F12-08,F12-08-hiddenhand-multi-protocol-bribe,Vote-bribe rewards,yes,code-invisible
ETH,F03-01,F03-01-steth-curve-depeg-lido-queue,Depeg arbitrage,no,code-invisible
ETH,F03-02,F03-02-ezeth-balancer-depeg-renzo,Depeg arbitrage,no,code-invisible
ETH,F03-09,F03-09-weeth-pectra-depeg,Depeg arbitrage,no,code-invisible
ETH,F04-01,F04-01-dssflash-psm-curve-3pool-depeg,Depeg arbitrage,no,code-invisible
ETH,F05-04,F05-04-crvusd-peg-flashmint-arb,Depeg arbitrage,no,code-invisible
ETH,F08-02,F08-02-usde-usdt-balancer-flash-curve-peg-arb,Depeg arbitrage,no,code-invisible
ETH,F08-06,F08-06-susde-cooldown-curve-arb,Depeg arbitrage,no,code-invisible
ETH,F08-09,F08-09-ethena-mint-curve-balancer-arb,Depeg arbitrage,no,code-invisible
ETH,F13-07,F13-07-univ3-usdc-weth-flash-balancer-curve-peg-arb,Depeg arbitrage,no,code-invisible
ETH,F14-02,F14-02-susd-3pool-depeg-atomic,Depeg arbitrage,no,code-invisible
ETH,F14-06,F14-06-susd-deep-depeg-sbtc-backstop,Depeg arbitrage,no,code-invisible
ETH,F17-03,F17-03-oeth-curve-depeg-redeem-arb,Depeg arbitrage,no,code-invisible
ETH,F18-01,F18-01-dssflash-crvusd-pegkeeper-arb,Depeg arbitrage,no,code-invisible
ETH,F14-07,F14-07-synthetix-v3-vault-research-probe,Vault deposit yield,yes,code-invisible
